date,value
2024-01-01,150
2024-01-02,165
2024-01-03,172
2024-01-04,158
2024-01-05,180
2024-01-06,195
2024-01-07,210
2024-01-08,175
2024-01-09,160
2024-01-10,185
2024-01-11,200
2024-01-12,220
2024-01-13,235
2024-01-14,215
2024-01-15,190
2024-01-16,205
2024-01-17,225
2024-01-18,240
2024-01-19,255
2024-01-20,230
2024-01-21,210
2024-01-22,225
2024-01-23,245
2024-01-24,260
2024-01-25,275
2024-01-26,250
2024-01-27,235
2024-01-28,250
2024-01-29,270
2024-01-30,285
2024-01-31,300
2024-02-01,280
2024-02-02,265
2024-02-03,280
2024-02-04,295
2024-02-05,310
2024-02-06,325
2024-02-07,305
2024-02-08,290
2024-02-09,305
2024-02-10,320
2024-02-11,335
2024-02-12,350
2024-02-13,330
2024-02-14,315
2024-02-15,330
2024-02-16,345
2024-02-17,360
2024-02-18,375
2024-02-19,355
2024-02-20,340
2024-02-21,355
2024-02-22,370
2024-02-23,385
2024-02-24,400
2024-02-25,380
2024-02-26,365
2024-02-27,380
2024-02-28,395
2024-02-29,410
2024-03-01,425
2024-03-02,405
2024-03-03,390
2024-03-04,405
2024-03-05,420
2024-03-06,435
2024-03-07,450
2024-03-08,430
2024-03-09,415
2024-03-10,430
2024-03-11,445
2024-03-12,460
2024-03-13,475
2024-03-14,455
2024-03-15,440
2024-03-16,455
2024-03-17,470
2024-03-18,485
2024-03-19,500
2024-03-20,480
2024-03-21,465
2024-03-22,480
2024-03-23,495
2024-03-24,510
2024-03-25,525
2024-03-26,505
2024-03-27,490
2024-03-28,505
2024-03-29,520
2024-03-30,535
2024-03-31,550
2024-04-01,530
2024-04-02,515
2024-04-03,530
2024-04-04,545
2024-04-05,560
2024-04-06,575
2024-04-07,555
2024-04-08,540
2024-04-09,555
2024-04-10,570
2024-04-11,585
2024-04-12,600
2024-04-13,580
2024-04-14,565
2024-04-15,580
2024-04-16,595
2024-04-17,610
2024-04-18,625
2024-04-19,605
2024-04-20,590
2024-04-21,605
2024-04-22,620
2024-04-23,635
2024-04-24,650
2024-04-25,630
2024-04-26,615
2024-04-27,630
2024-04-28,645
2024-04-29,660
2024-04-30,675
2024-05-01,655
2024-05-02,640
2024-05-03,655
2024-05-04,670
2024-05-05,685
2024-05-06,700
2024-05-07,680
2024-05-08,665
2024-05-09,680
2024-05-10,695
2024-05-11,710
2024-05-12,725
2024-05-13,705
2024-05-14,690
2024-05-15,705
2024-05-16,720
2024-05-17,735
2024-05-18,750
2024-05-19,730
2024-05-20,715
2024-05-21,730
2024-05-22,745
2024-05-23,760
2024-05-24,775
2024-05-25,755
2024-05-26,740
2024-05-27,755
2024-05-28,770
2024-05-29,785
2024-05-30,800
2024-05-31,780
