date,value
2015-01-01,2713.85
2015-01-02,3189.2
2015-01-03,1598.55
2015-01-04,2176.85
2015-01-05,2571.95
2015-01-06,3067.75
2015-01-07,2231.5
2015-01-08,2440.55
2015-01-09,2352.85
2015-01-10,3202.15
2015-01-11,1986.65
2015-01-12,2076.7
2015-01-13,2049.6
2015-01-14,2527.4
2015-01-15,1984.8
2015-01-16,2594.15
2015-01-17,2064.1
2015-01-18,1976.85
2015-01-19,2387.15
2015-01-20,2397.9
2015-01-21,2040.55
2015-01-22,2496.7
2015-01-23,2423.7
2015-01-24,2289.25
2015-01-25,1617.55
2015-01-26,1884.4
2015-01-27,2528.05
2015-01-28,2016.0
2015-01-29,2045.3
2015-01-30,2270.3
2015-01-31,2417.85
2015-02-01,2731.9
2015-02-02,2328.6
2015-02-03,2379.05
2015-02-04,2547.15
2015-02-05,2400.2
2015-02-06,2449.95
2015-02-07,2294.8
2015-02-08,1910.15
2015-02-09,1865.55
2015-02-10,2074.85
2015-02-11,2299.1
2015-02-12,2214.1
2015-02-13,2754.5
2015-02-14,2319.15
2015-02-15,2141.25
2015-02-16,1968.8
2015-02-17,2121.9
2015-02-18,2642.85
2015-02-19,2030.25
2015-02-20,2891.15
2015-02-21,2111.0
2015-02-22,1579.95
2015-02-23,2168.55
2015-02-24,2194.55
2015-02-25,2341.3
2015-02-26,2261.3
2015-02-27,2857.95
2015-02-28,2539.6
2015-03-01,2662.4
2015-03-02,2614.8
2015-03-03,2287.9
2015-03-04,2538.2
2015-03-05,1832.25
2015-03-06,1907.05
2015-03-07,3443.0
2015-03-08,1982.25
2015-03-09,2252.6
2015-03-10,2400.95
2015-03-11,1828.55
2015-03-12,2243.2
2015-03-13,2786.65
2015-03-14,2039.45
2015-03-15,2068.6
2015-03-16,2295.05
2015-03-17,2965.3
2015-03-18,2075.4
2015-03-19,2388.6
2015-03-20,2461.25
2015-03-21,2267.4
2015-03-22,1259.25
2015-03-23,2232.55
2015-03-24,2162.3
2015-03-25,1927.75
2015-03-26,2215.5
2015-03-27,2744.8
2015-03-28,2252.1
2015-03-29,2154.25
2015-03-30,2255.45
2015-03-31,2756.6
2015-04-01,1755.45
2015-04-02,2233.9
2015-04-03,2444.3
2015-04-04,2767.55
2015-04-05,2288.9
2015-04-06,2283.6
2015-04-07,3864.2
2015-04-08,2090.15
2015-04-09,2960.95
2015-04-10,2142.2
2015-04-11,1966.1
2015-04-12,2878.35
2015-04-13,2496.2
2015-04-14,2505.7
2015-04-15,2578.85
2015-04-16,2017.95
2015-04-17,2675.65
2015-04-18,2286.2
2015-04-19,1527.95
2015-04-20,2459.45
2015-04-21,2213.15
2015-04-22,2193.45
2015-04-23,2426.15
2015-04-24,2979.2
2015-04-25,2089.2
2015-04-26,1767.4
2015-04-27,2180.8
2015-04-28,1742.8
2015-04-29,1828.75
2015-04-30,2667.5
2015-05-01,2065.95
2015-05-02,2215.8
2015-05-03,2350.65
2015-05-04,1909.85
2015-05-05,1713.6
2015-05-06,2700.15
2015-05-07,1591.45
2015-05-08,2094.85
2015-05-09,2537.8
2015-05-11,2180.35
2015-05-12,2627.95
2015-05-13,2261.8
2015-05-14,2694.5
2015-05-15,3386.15
2015-05-16,2281.1
2015-05-17,1828.4
2015-05-18,2209.65
2015-05-19,1987.0
2015-05-20,2373.0
2015-05-21,2062.55
2015-05-22,2635.1
2015-05-23,2444.15
2015-05-24,2196.95
2015-05-25,2104.4
2015-05-26,1876.45
2015-05-27,2097.0
2015-05-28,2016.4
2015-05-29,3001.2
2015-05-30,2486.95
2015-05-31,1717.65
2015-06-01,2428.95
2015-06-02,2509.95
2015-06-03,2513.95
2015-06-04,2622.35
2015-06-05,2309.8
2015-06-06,2280.95
2015-06-07,2116.9
2015-06-08,2099.25
2015-06-09,1491.65
2015-06-10,2215.95
2015-06-11,3157.5
2015-06-12,2350.25
2015-06-13,2508.9
2015-06-14,1859.0
2015-06-15,2595.6
2015-06-16,1898.3
2015-06-17,2137.1
2015-06-18,1984.5
2015-06-19,2793.45
2015-06-20,2060.6
2015-06-21,1925.2
2015-06-22,2319.3
2015-06-23,2042.75
2015-06-24,2327.5
2015-06-25,2399.15
2015-06-26,2745.5
2015-06-27,2812.9
2015-06-28,1569.7
2015-06-29,1873.6
2015-06-30,2210.95
2015-07-01,2202.2
2015-07-02,2237.65
2015-07-03,2400.45
2015-07-04,2234.25
2015-07-05,2228.85
2015-07-06,1960.75
2015-07-07,2374.4
2015-07-08,2626.4
2015-07-09,2283.35
2015-07-10,2092.35
2015-07-11,2580.95
2015-07-12,2414.8
2015-07-13,2059.5
2015-07-14,1956.5
2015-07-15,2501.8
2015-07-16,2463.9
2015-07-17,3131.65
2015-07-18,2122.2
2015-07-19,2022.7
2015-07-20,2501.0
2015-07-21,2030.85
2015-07-22,2292.1
2015-07-23,2214.5
2015-07-24,3204.4
2015-07-25,2237.25
2015-07-26,1871.55
2015-07-27,2172.0
2015-07-28,2094.55
2015-07-29,1923.25
2015-07-30,2349.15
2015-07-31,2095.4
2015-08-01,2838.35
2015-08-02,2035.0
2015-08-03,2188.15
2015-08-04,2293.95
2015-08-05,3052.3
2015-08-06,2264.95
2015-08-07,2396.05
2015-08-08,2716.4
2015-08-09,2249.5
2015-08-10,1975.85
2015-08-11,2110.15
2015-08-12,1856.25
2015-08-13,2074.15
2015-08-14,3016.6
2015-08-15,2252.35
2015-08-16,2139.3
2015-08-17,2626.0
2015-08-18,2101.2
2015-08-19,2332.95
2015-08-20,1907.7
2015-08-21,2601.4
2015-08-22,2406.0
2015-08-23,1701.6
2015-08-24,1697.05
2015-08-25,1958.9
2015-08-26,2329.4
2015-08-27,2117.65
2015-08-28,2647.2
2015-08-29,2035.0
2015-08-30,1494.6
2015-08-31,2081.35
2015-09-01,2127.35
2015-09-02,2195.35
2015-09-03,2334.55
2015-09-04,2047.3
2015-09-05,2368.4
2015-09-06,2442.55
2015-09-07,2297.75
2015-09-08,2002.65
2015-09-09,2580.1
2015-09-10,2512.6
2015-09-11,2483.75
2015-09-12,2571.55
2015-09-13,1838.15
2015-09-14,2165.25
2015-09-15,2550.2
2015-09-16,2185.25
2015-09-17,2242.05
2015-09-18,2721.55
2015-09-19,2286.55
2015-09-20,1829.0
2015-09-21,2131.45
2015-09-22,2170.4
2015-09-23,2163.0
2015-09-26,2246.85
2015-09-27,2314.7
2015-09-28,2035.3
2015-09-29,2762.05
2015-09-30,2198.05
2015-10-01,2463.95
2015-10-02,2056.5
2015-10-03,2388.7
2015-10-04,2424.95
2015-10-05,2288.35
2015-10-06,2019.4
2015-10-07,2432.4
2015-10-08,2139.45
2015-10-09,2415.85
2015-10-10,2310.2
2015-10-11,2042.6
2015-10-12,1985.6
2015-10-13,2325.95
2015-10-14,2146.35
2015-10-15,4320.2
2015-10-16,2555.1
2015-10-17,2339.8
2015-10-18,1795.3
2015-10-20,2437.15
2015-10-21,2460.5
2015-10-22,2400.9
2015-10-23,2610.65
2015-10-24,2679.5
2015-10-25,1837.05
2015-10-27,1988.65
2015-10-28,1635.95
2015-10-29,2169.75
2015-10-30,2736.6
2015-10-31,2744.85
2015-11-01,1872.3
2015-11-02,2460.0
2015-11-03,2207.7
2015-11-04,2543.75
2015-11-05,2388.05
2015-11-06,2650.5
2015-11-07,2085.55
2015-11-08,2290.0
2015-11-09,2761.9
2015-11-10,1916.25
2015-11-11,1946.2
2015-11-12,2634.0
2015-11-13,2264.55
2015-11-14,2324.75
2015-11-15,1821.65
2015-11-16,2256.65
2015-11-17,1956.55
2015-11-18,2111.7
2015-11-19,2694.9
2015-11-20,2388.1
2015-11-21,2083.95
2015-11-22,1368.7
2015-11-23,2465.15
2015-11-24,2230.05
2015-11-25,2363.25
2015-11-26,4405.95
2015-11-27,4422.45
2015-11-28,1968.05
2015-11-29,1899.0
2015-11-30,2223.25
2015-12-01,1919.05
2015-12-02,2158.8
2015-12-03,1994.9
2015-12-04,1994.3
2015-12-05,2299.7
2015-12-06,2138.6
2015-12-07,2185.65
2015-12-08,2365.75
2015-12-09,2588.15
2015-12-11,2564.8
2015-12-12,1960.15
2015-12-13,2245.15
2015-12-14,2172.6
2015-12-15,2387.45
2015-12-16,2234.8
2015-12-17,1880.75
2015-12-18,2886.3
2015-12-19,2304.2
2015-12-20,2104.9
2015-12-21,2100.7
2015-12-22,1882.95
2015-12-23,2244.3
2015-12-24,2137.85
2015-12-26,1643.05
2015-12-27,1419.0
2015-12-28,1637.2
2015-12-29,1353.25
2015-12-30,1337.8
2015-12-31,2916.0
