date,value
2014-12-31,162
2015-01-01,191
2015-01-02,99
2015-01-03,135
2015-01-04,154
2015-01-05,184
2015-01-06,137
2015-01-07,154
2015-01-08,146
2015-01-09,194
2015-01-10,124
2015-01-11,131
2015-01-31,165
2015-02-01,145
2015-02-02,139
2015-02-03,150
2015-02-04,152
2015-02-05,147
2015-02-06,138
2015-02-07,114
2015-02-08,111
2015-02-09,125
2015-02-10,138
2015-02-11,132
2015-02-28,158
2015-03-01,159
2015-03-02,137
2015-03-03,155
2015-03-04,114
2015-03-05,113
2015-03-06,213
2015-03-07,117
2015-03-08,138
2015-03-09,147
2015-03-10,114
2015-03-11,136
2015-03-31,106
2015-04-01,138
2015-04-02,147
2015-04-03,170
2015-04-04,141
2015-04-05,141
2015-04-06,234
2015-04-07,122
2015-04-08,179
2015-04-09,128
2015-04-10,121
2015-04-11,176
2015-04-30,125
2015-05-01,133
2015-05-02,142
2015-05-03,117
2015-05-04,107
2015-05-05,159
2015-05-06,96
2015-05-07,130
2015-05-08,153
2015-05-10,124
2015-05-11,160
2015-05-31,147
2015-06-01,153
2015-06-02,152
2015-06-03,157
2015-06-04,140
2015-06-05,136
2015-06-06,130
2015-06-07,132
2015-06-08,92
2015-06-09,136
2015-06-10,190
2015-06-11,144
2015-06-30,138
2015-07-01,136
2015-07-02,144
2015-07-03,138
2015-07-04,131
2015-07-05,117
2015-07-06,142
2015-07-07,161
2015-07-08,140
2015-07-09,133
2015-07-10,156
2015-07-11,150
2015-07-31,173
2015-08-01,124
2015-08-02,135
2015-08-03,136
2015-08-04,181
2015-08-05,136
2015-08-06,142
2015-08-07,167
2015-08-08,133
2015-08-09,119
2015-08-10,127
2015-08-11,110
2015-08-31,127
2015-09-01,136
2015-09-02,138
2015-09-03,122
2015-09-04,144
2015-09-05,147
2015-09-06,135
2015-09-07,126
2015-09-08,157
2015-09-09,147
2015-09-10,151
2015-09-11,160
2015-09-30,146
2015-10-01,124
2015-10-02,144
2015-10-03,142
2015-10-04,141
2015-10-05,124
2015-10-06,148
2015-10-07,125
2015-10-08,148
2015-10-09,141
2015-10-10,126
2015-10-11,118
2015-10-31,116
2015-11-01,155
2015-11-02,134
2015-11-03,153
2015-11-04,144
2015-11-05,158
2015-11-06,125
2015-11-07,137
2015-11-08,167
2015-11-09,118
2015-11-10,118
2015-11-11,164
2015-11-30,119
2015-12-01,130
2015-12-02,119
2015-12-03,120
2015-12-04,142
2015-12-05,131
2015-12-06,128
2015-12-07,144
2015-12-08,156
2015-12-10,153
2015-12-11,127
