date,value
2023-12-31,2713.8500000000004
2024-01-01,3189.1999999999994
2024-01-02,1598.5500000000002
2024-01-03,2176.8500000000004
2024-01-04,2571.9500000000003
2024-01-05,3067.75
2024-01-06,2231.5
2024-01-07,2440.55
2024-01-08,2352.8500000000004
2024-01-09,3202.149999999999
2024-01-10,1986.65
2024-01-11,2076.7
2024-01-31,2731.8999999999996
2024-02-01,2328.6000000000004
2024-02-02,2379.05
2024-02-03,2547.1500000000005
2024-02-04,2400.2
2024-02-05,2449.95
2024-02-06,2294.7999999999997
2024-02-07,1910.15
2024-02-08,1865.5500000000002
2024-02-09,2074.8500000000004
2024-02-10,2299.1000000000004
2024-02-11,2214.1
2024-02-29,2662.3999999999996
2024-03-01,2614.8
2024-03-02,2287.9
2024-03-03,2538.2
2024-03-04,1832.25
2024-03-05,1907.0500000000002
2024-03-06,3442.9999999999995
2024-03-07,1982.2500000000002
2024-03-08,2252.5999999999995
2024-03-09,2400.9500000000003
2024-03-10,1828.5500000000002
2024-03-11,2243.2
2024-03-31,1755.4500000000003
2024-04-01,2233.9
2024-04-02,2444.2999999999997
2024-04-03,2767.55
2024-04-04,2288.9
2024-04-05,2283.6000000000004
2024-04-06,3864.2
2024-04-07,2090.1500000000005
2024-04-08,2960.9500000000003
2024-04-09,2142.2
2024-04-10,1966.1000000000001
2024-04-11,2878.35
2024-04-30,2065.95
2024-05-01,2215.7999999999997
2024-05-02,2350.65
2024-05-03,1909.8500000000001
2024-05-04,1713.6000000000001
2024-05-05,2700.15
2024-05-06,1591.45
2024-05-07,2094.8500000000004
2024-05-08,2537.7999999999997
2024-05-10,2180.3500000000004
2024-05-11,2627.9500000000003
2024-05-31,2428.95
2024-06-01,2509.9500000000003
2024-06-02,2513.9500000000003
2024-06-03,2622.35
2024-06-04,2309.8
2024-06-05,2280.9500000000003
2024-06-06,2116.9
2024-06-07,2099.25
2024-06-08,1491.6500000000003
2024-06-09,2215.95
2024-06-10,3157.4999999999995
2024-06-11,2350.25
2024-06-30,2202.2000000000003
2024-07-01,2237.6499999999996
2024-07-02,2400.4500000000003
2024-07-03,2234.25
2024-07-04,2228.85
2024-07-05,1960.7500000000002
2024-07-06,2374.4
2024-07-07,2626.4
2024-07-08,2283.35
2024-07-09,2092.3500000000004
2024-07-10,2580.95
2024-07-11,2414.7999999999997
2024-07-31,2838.3499999999995
2024-08-01,2035
2024-08-02,2188.1500000000005
2024-08-03,2293.95
2024-08-04,3052.2999999999993
2024-08-05,2264.9500000000003
2024-08-06,2396.05
2024-08-07,2716.4
2024-08-08,2249.5
2024-08-09,1975.8500000000001
2024-08-10,2110.15
2024-08-11,1856.25
2024-08-31,2127.3500000000004
2024-09-01,2195.35
2024-09-02,2334.55
2024-09-03,2047.3000000000002
2024-09-04,2368.3999999999996
2024-09-05,2442.55
2024-09-06,2297.75
2024-09-07,2002.65
2024-09-08,2580.1
2024-09-09,2512.5999999999995
2024-09-10,2483.75
2024-09-11,2571.5499999999997
2024-09-30,2463.95
2024-10-01,2056.5000000000005
2024-10-02,2388.7
2024-10-03,2424.9500000000003
2024-10-04,2288.35
2024-10-05,2019.4000000000003
2024-10-06,2432.4000000000005
2024-10-07,2139.45
2024-10-08,2415.8500000000004
2024-10-09,2310.2
2024-10-10,2042.6000000000001
2024-10-11,1985.6000000000001
2024-10-31,1872.3000000000002
2024-11-01,2459.999999999999
2024-11-02,2207.7
2024-11-03,2543.75
2024-11-04,2388.05
2024-11-05,2650.5
2024-11-06,2085.55
2024-11-07,2290
2024-11-08,2761.9
2024-11-09,1916.2500000000002
2024-11-10,1946.2000000000003
2024-11-11,2634
2024-11-30,1919.0500000000002
2024-12-01,2158.8
2024-12-02,1994.9000000000005
2024-12-03,1994.3000000000002
2024-12-04,2299.7
2024-12-05,2138.6000000000004
2024-12-06,2185.6499999999996
2024-12-07,2365.75
2024-12-08,2588.15
2024-12-10,2564.8
2024-12-11,1960.15
