date,value
2015-01-01,162.0
2015-01-02,191.0
2015-01-03,99.0
2015-01-04,135.0
2015-01-05,154.0
2015-01-06,184.0
2015-01-07,137.0
2015-01-08,154.0
2015-01-09,146.0
2015-01-10,194.0
2015-01-11,124.0
2015-01-12,131.0
2015-01-13,120.0
2015-01-14,150.0
2015-01-15,123.0
2015-01-16,158.0
2015-01-17,125.0
2015-01-18,122.0
2015-01-19,142.0
2015-01-20,143.0
2015-01-21,129.0
2015-01-22,158.0
2015-01-23,152.0
2015-01-24,142.0
2015-01-25,102.0
2015-01-26,113.0
2015-01-27,151.0
2015-01-28,118.0
2015-01-29,119.0
2015-01-30,138.0
2015-01-31,145.0
2015-02-01,165.0
2015-02-02,145.0
2015-02-03,139.0
2015-02-04,150.0
2015-02-05,152.0
2015-02-06,147.0
2015-02-07,138.0
2015-02-08,114.0
2015-02-09,111.0
2015-02-10,125.0
2015-02-11,138.0
2015-02-12,132.0
2015-02-13,163.0
2015-02-14,140.0
2015-02-15,128.0
2015-02-16,119.0
2015-02-17,129.0
2015-02-18,163.0
2015-02-19,123.0
2015-02-20,175.0
2015-02-21,127.0
2015-02-22,97.0
2015-02-23,128.0
2015-02-24,134.0
2015-02-25,144.0
2015-02-26,140.0
2015-02-27,173.0
2015-02-28,154.0
2015-03-01,158.0
2015-03-02,159.0
2015-03-03,137.0
2015-03-04,155.0
2015-03-05,114.0
2015-03-06,113.0
2015-03-07,213.0
2015-03-08,117.0
2015-03-09,138.0
2015-03-10,147.0
2015-03-11,114.0
2015-03-12,136.0
2015-03-13,176.0
2015-03-14,123.0
2015-03-15,131.0
2015-03-16,141.0
2015-03-17,179.0
2015-03-18,123.0
2015-03-19,144.0
2015-03-20,149.0
2015-03-21,136.0
2015-03-22,77.0
2015-03-23,135.0
2015-03-24,130.0
2015-03-25,115.0
2015-03-26,136.0
2015-03-27,167.0
2015-03-28,139.0
2015-03-29,132.0
2015-03-30,137.0
2015-03-31,161.0
2015-04-01,106.0
2015-04-02,138.0
2015-04-03,147.0
2015-04-04,170.0
2015-04-05,141.0
2015-04-06,141.0
2015-04-07,234.0
2015-04-08,122.0
2015-04-09,179.0
2015-04-10,128.0
2015-04-11,121.0
2015-04-12,176.0
2015-04-13,144.0
2015-04-14,146.0
2015-04-15,158.0
2015-04-16,126.0
2015-04-17,161.0
2015-04-18,137.0
2015-04-19,95.0
2015-04-20,151.0
2015-04-21,134.0
2015-04-22,134.0
2015-04-23,144.0
2015-04-24,175.0
2015-04-25,126.0
2015-04-26,111.0
2015-04-27,133.0
2015-04-28,107.0
2015-04-29,111.0
2015-04-30,163.0
2015-05-01,125.0
2015-05-02,133.0
2015-05-03,142.0
2015-05-04,117.0
2015-05-05,107.0
2015-05-06,159.0
2015-05-07,96.0
2015-05-08,130.0
2015-05-09,153.0
2015-05-11,124.0
2015-05-12,160.0
2015-05-13,137.0
2015-05-14,164.0
2015-05-15,208.0
2015-05-16,142.0
2015-05-17,109.0
2015-05-18,134.0
2015-05-19,119.0
2015-05-20,141.0
2015-05-21,123.0
2015-05-22,154.0
2015-05-23,148.0
2015-05-24,134.0
2015-05-25,125.0
2015-05-26,115.0
2015-05-27,124.0
2015-05-28,121.0
2015-05-29,181.0
2015-05-30,150.0
2015-05-31,108.0
2015-06-01,147.0
2015-06-02,153.0
2015-06-03,152.0
2015-06-04,157.0
2015-06-05,140.0
2015-06-06,136.0
2015-06-07,130.0
2015-06-08,132.0
2015-06-09,92.0
2015-06-10,136.0
2015-06-11,190.0
2015-06-12,144.0
2015-06-13,153.0
2015-06-14,113.0
2015-06-15,152.0
2015-06-16,116.0
2015-06-17,126.0
2015-06-18,116.0
2015-06-19,167.0
2015-06-20,128.0
2015-06-21,115.0
2015-06-22,140.0
2015-06-23,124.0
2015-06-24,137.0
2015-06-25,148.0
2015-06-26,163.0
2015-06-27,173.0
2015-06-28,95.0
2015-06-29,118.0
2015-06-30,130.0
2015-07-01,138.0
2015-07-02,136.0
2015-07-03,144.0
2015-07-04,138.0
2015-07-05,131.0
2015-07-06,117.0
2015-07-07,142.0
2015-07-08,161.0
2015-07-09,140.0
2015-07-10,133.0
2015-07-11,156.0
2015-07-12,150.0
2015-07-13,124.0
2015-07-14,119.0
2015-07-15,154.0
2015-07-16,146.0
2015-07-17,187.0
2015-07-18,130.0
2015-07-19,121.0
2015-07-20,149.0
2015-07-21,119.0
2015-07-22,137.0
2015-07-23,137.0
2015-07-24,196.0
2015-07-25,135.0
2015-07-26,112.0
2015-07-27,129.0
2015-07-28,132.0
2015-07-29,116.0
2015-07-30,149.0
2015-07-31,132.0
2015-08-01,173.0
2015-08-02,124.0
2015-08-03,135.0
2015-08-04,136.0
2015-08-05,181.0
2015-08-06,136.0
2015-08-07,142.0
2015-08-08,167.0
2015-08-09,133.0
2015-08-10,119.0
2015-08-11,127.0
2015-08-12,110.0
2015-08-13,132.0
2015-08-14,188.0
2015-08-15,140.0
2015-08-16,128.0
2015-08-17,161.0
2015-08-18,128.0
2015-08-19,138.0
2015-08-20,116.0
2015-08-21,163.0
2015-08-22,148.0
2015-08-23,105.0
2015-08-24,106.0
2015-08-25,115.0
2015-08-26,139.0
2015-08-27,128.0
2015-08-28,161.0
2015-08-29,123.0
2015-08-30,94.0
2015-08-31,126.0
2015-09-01,127.0
2015-09-02,136.0
2015-09-03,138.0
2015-09-04,122.0
2015-09-05,144.0
2015-09-06,147.0
2015-09-07,135.0
2015-09-08,126.0
2015-09-09,157.0
2015-09-10,147.0
2015-09-11,151.0
2015-09-12,160.0
2015-09-13,108.0
2015-09-14,129.0
2015-09-15,158.0
2015-09-16,136.0
2015-09-17,138.0
2015-09-18,164.0
2015-09-19,141.0
2015-09-20,108.0
2015-09-21,132.0
2015-09-22,131.0
2015-09-23,133.0
2015-09-26,139.0
2015-09-27,139.0
2015-09-28,121.0
2015-09-29,163.0
2015-09-30,130.0
2015-10-01,146.0
2015-10-02,124.0
2015-10-03,144.0
2015-10-04,142.0
2015-10-05,141.0
2015-10-06,124.0
2015-10-07,148.0
2015-10-08,125.0
2015-10-09,148.0
2015-10-10,141.0
2015-10-11,126.0
2015-10-12,118.0
2015-10-13,141.0
2015-10-14,132.0
2015-10-15,262.0
2015-10-16,153.0
2015-10-17,140.0
2015-10-18,105.0
2015-10-20,154.0
2015-10-21,149.0
2015-10-22,145.0
2015-10-23,154.0
2015-10-24,160.0
2015-10-25,114.0
2015-10-27,120.0
2015-10-28,104.0
2015-10-29,131.0
2015-10-30,166.0
2015-10-31,165.0
2015-11-01,116.0
2015-11-02,155.0
2015-11-03,134.0
2015-11-04,153.0
2015-11-05,144.0
2015-11-06,158.0
2015-11-07,125.0
2015-11-08,137.0
2015-11-09,167.0
2015-11-10,118.0
2015-11-11,118.0
2015-11-12,164.0
2015-11-13,141.0
2015-11-14,142.0
2015-11-15,113.0
2015-11-16,136.0
2015-11-17,117.0
2015-11-18,130.0
2015-11-19,162.0
2015-11-20,148.0
2015-11-21,131.0
2015-11-22,84.0
2015-11-23,148.0
2015-11-24,131.0
2015-11-25,144.0
2015-11-26,266.0
2015-11-27,264.0
2015-11-28,118.0
2015-11-29,115.0
2015-11-30,134.0
2015-12-01,119.0
2015-12-02,130.0
2015-12-03,119.0
2015-12-04,120.0
2015-12-05,142.0
2015-12-06,131.0
2015-12-07,128.0
2015-12-08,144.0
2015-12-09,156.0
2015-12-11,153.0
2015-12-12,127.0
2015-12-13,130.0
2015-12-14,131.0
2015-12-15,146.0
