date,value
2015-01-01,161
2015-01-02,188
2015-01-03,99
2015-01-04,133
2015-01-05,152
2015-01-06,180
2015-01-07,134
2015-01-08,150
2015-01-09,143
2015-01-10,190
2015-01-11,123
2015-01-12,129
2015-01-13,117
2015-01-14,144
2015-01-15,123
2015-01-16,155
2015-01-17,122
2015-01-18,119
2015-01-19,139
2015-01-20,139
2015-01-21,127
2015-01-22,155
2015-01-23,149
2015-01-24,142
2015-01-25,101
2015-01-26,113
2015-01-27,149
2015-01-28,116
2015-01-29,115
2015-01-30,138
2015-01-31,143
2015-02-01,160
2015-02-02,143
2015-02-03,138
2015-02-04,144
2015-02-05,149
2015-02-06,146
2015-02-07,135
2015-02-08,110
2015-02-09,110
2015-02-10,121
2015-02-11,137
2015-02-12,131
2015-02-13,160
2015-02-14,137
2015-02-15,128
2015-02-16,118
2015-02-17,128
2015-02-18,160
2015-02-19,122
2015-02-20,169
2015-02-21,124
2015-02-22,93
2015-02-23,125
2015-02-24,132
2015-02-25,141
2015-02-26,136
2015-02-27,171
2015-02-28,153
2015-03-01,154
2015-03-02,153
2015-03-03,133
2015-03-04,154
2015-03-05,113
2015-03-06,112
2015-03-07,207
2015-03-08,114
2015-03-09,133
2015-03-10,142
2015-03-11,112
2015-03-12,133
2015-03-13,173
2015-03-14,122
2015-03-15,124
2015-03-16,140
2015-03-17,176
2015-03-18,119
2015-03-19,143
2015-03-20,148
2015-03-21,134
2015-03-22,76
2015-03-23,131
2015-03-24,128
2015-03-25,115
2015-03-26,136
2015-03-27,167
2015-03-28,138
2015-03-29,129
2015-03-30,133
2015-03-31,159
2015-04-01,106
2015-04-02,135
2015-04-03,144
2015-04-04,162
2015-04-05,138
2015-04-06,137
2015-04-07,233
2015-04-08,121
2015-04-09,178
2015-04-10,125
2015-04-11,121
2015-04-12,173
2015-04-13,143
2015-04-14,141
2015-04-15,155
2015-04-16,125
2015-04-17,161
2015-04-18,135
2015-04-19,92
2015-04-20,148
2015-04-21,130
2015-04-22,132
2015-04-23,137
2015-04-24,171
2015-04-25,125
2015-04-26,110
2015-04-27,133
2015-04-28,101
2015-04-29,107
2015-04-30,163
2015-05-01,121
2015-05-02,132
2015-05-03,140
2015-05-04,116
2015-05-05,105
2015-05-06,158
2015-05-07,95
2015-05-08,127
2015-05-09,151
2015-05-11,124
2015-05-12,158
2015-05-13,137
2015-05-14,157
2015-05-15,205
2015-05-16,141
2015-05-17,106
2015-05-18,132
2015-05-19,114
2015-05-20,137
2015-05-21,122
2015-05-22,150
2015-05-23,141
2015-05-24,130
2015-05-25,122
2015-05-26,114
2015-05-27,123
2015-05-28,118
2015-05-29,180
2015-05-30,144
2015-05-31,108
2015-06-01,144
2015-06-02,152
2015-06-03,145
2015-06-04,153
2015-06-05,138
2015-06-06,133
2015-06-07,128
2015-06-08,132
2015-06-09,91
2015-06-10,132
2015-06-11,185
2015-06-12,140
2015-06-13,150
2015-06-14,110
2015-06-15,150
2015-06-16,113
2015-06-17,124
2015-06-18,114
2015-06-19,167
2015-06-20,124
2015-06-21,114
2015-06-22,137
2015-06-23,123
2015-06-24,136
2015-06-25,144
2015-06-26,161
2015-06-27,167
2015-06-28,93
2015-06-29,118
2015-06-30,126
2015-07-01,133
2015-07-02,135
2015-07-03,139
2015-07-04,136
2015-07-05,125
2015-07-06,117
2015-07-07,136
2015-07-08,155
2015-07-09,138
2015-07-10,130
2015-07-11,156
2015-07-12,147
2015-07-13,122
2015-07-14,117
2015-07-15,152
2015-07-16,141
2015-07-17,185
2015-07-18,128
2015-07-19,118
2015-07-20,144
2015-07-21,117
2015-07-22,133
2015-07-23,133
2015-07-24,188
2015-07-25,134
2015-07-26,108
2015-07-27,126
2015-07-28,130
2015-07-29,115
2015-07-30,143
2015-07-31,131
2015-08-01,171
2015-08-02,122
2015-08-03,132
2015-08-04,131
2015-08-05,177
2015-08-06,129
2015-08-07,139
2015-08-08,165
2015-08-09,131
2015-08-10,115
2015-08-11,125
2015-08-12,109
2015-08-13,130
2015-08-14,185
2015-08-15,139
2015-08-16,126
2015-08-17,156
2015-08-18,127
2015-08-19,133
2015-08-20,115
2015-08-21,161
2015-08-22,145
2015-08-23,101
2015-08-24,105
2015-08-25,112
2015-08-26,133
2015-08-27,125
2015-08-28,161
