date,value
2023-12-31,162
2024-01-01,191
2024-01-02,99
2024-01-03,135
2024-01-04,154
2024-01-05,184
2024-01-06,137
2024-01-07,154
2024-01-08,146
2024-01-09,194
2024-01-10,124
2024-01-11,131
2024-01-31,165
2024-02-01,145
2024-02-02,139
2024-02-03,150
2024-02-04,152
2024-02-05,147
2024-02-06,138
2024-02-07,114
2024-02-08,111
2024-02-09,125
2024-02-10,138
2024-02-11,132
2024-02-29,158
2024-03-01,159
2024-03-02,137
2024-03-03,155
2024-03-04,114
2024-03-05,113
2024-03-06,213
2024-03-07,117
2024-03-08,138
2024-03-09,147
2024-03-10,114
2024-03-11,136
2024-03-31,106
2024-04-01,138
2024-04-02,147
2024-04-03,170
2024-04-04,141
2024-04-05,141
2024-04-06,234
2024-04-07,122
2024-04-08,179
2024-04-09,128
2024-04-10,121
2024-04-11,176
2024-04-30,125
2024-05-01,133
2024-05-02,142
2024-05-03,117
2024-05-04,107
2024-05-05,159
2024-05-06,96
2024-05-07,130
2024-05-08,153
2024-05-10,124
2024-05-11,160
2024-05-31,147
2024-06-01,153
2024-06-02,152
2024-06-03,157
2024-06-04,140
2024-06-05,136
2024-06-06,130
2024-06-07,132
2024-06-08,92
2024-06-09,136
2024-06-10,190
2024-06-11,144
2024-06-30,138
2024-07-01,136
2024-07-02,144
2024-07-03,138
2024-07-04,131
2024-07-05,117
2024-07-06,142
2024-07-07,161
2024-07-08,140
2024-07-09,133
2024-07-10,156
2024-07-11,150
2024-07-31,173
2024-08-01,124
2024-08-02,135
2024-08-03,136
2024-08-04,181
2024-08-05,136
2024-08-06,142
2024-08-07,167
2024-08-08,133
2024-08-09,119
2024-08-10,127
2024-08-11,110
2024-08-31,127
2024-09-01,136
2024-09-02,138
2024-09-03,122
2024-09-04,144
2024-09-05,147
2024-09-06,135
2024-09-07,126
2024-09-08,157
2024-09-09,147
2024-09-10,151
2024-09-11,160
2024-09-30,146
2024-10-01,124
2024-10-02,144
2024-10-03,142
2024-10-04,141
2024-10-05,124
2024-10-06,148
2024-10-07,125
2024-10-08,148
2024-10-09,141
2024-10-10,126
2024-10-11,118
2024-10-31,116
2024-11-01,155
2024-11-02,134
2024-11-03,153
2024-11-04,144
2024-11-05,158
2024-11-06,125
2024-11-07,137
2024-11-08,167
2024-11-09,118
2024-11-10,118
2024-11-11,164
2024-11-30,119
2024-12-01,130
2024-12-02,119
2024-12-03,120
2024-12-04,142
2024-12-05,131
2024-12-06,128
2024-12-07,144
2024-12-08,156
2024-12-10,153
2024-12-11,127
